poetry,fiction,correspondence/journal,essays,musings,reviews,viscera,pith,funny,tidbit,Text,date,collection,blog,poem,form,tone
,,,,,,,x,x,,there is a dearth of paucity as regards absence,20260423,,x,,,
x,,,,,,,,,,"she will not be your soft companion
who makes the trees grow in your garden and
grants you sly acknowledgments

she will not understand or care to,
who makes the rain beat furiously down on houses
then shows her humid teeth,
which are brilliant at noon

she will not be collegial in her assessments of you
or measured in her actions.
this is not what you had hoped for in your adolescence

such timid intimations, you
pusillanimous whelp 
vacillating f*ggot

demand it! do not suggest. 
make lines of
demarcation. 

and if you want a soft companion
you will not find her in the garden
or in the whole wide world,
and how wide it is
how full and teasing in its curvature
m mm",20260422,,x,,,
x,,,,,,,,,,"who was Eurydice again?
some Greek broad

I looked her up on Wikipedia 
and skimmed the article

I didn't find anything in that article
that I was interested in knowing

I didn't find anything in the links
at the bottom of the page

that would indicate to me
why the name ""Eurydice"" would come to me

in a midnight desperation
free write

having watched some movie
that made me feel like I was in the movie

and could be something of meaning
to myself and others

and that the world is not an ersatz Pleasure Dome
in fucky n-th dimension Hellscapes

where smiles are experimental
and pain is food
that vanishes on the threshold of the mouth

      in this dim Planetarium
      where the milky dust swirls
      in blue projected beams
      the high-hung bodies harry them
      who are restrain-ed there below
            to wish upon one sweetly
             for it seems 
            that they might catch it falling, oh
      I would fain greet thee
      but thou'rt Apollyon
      and not my love
      and these are not the old stars
	that guided ships
	in storied configurations

      what is above, and far
	tips round to sink midst low imaginations",20260422,,x,,,
,,,,,,,,x,,got a skeeter bite on my keloid,20260420,,x,,,
,,,,x,,,,,,"the ""good"" guy stands for something, which means he will be the ""bad"" guy to people who stand against it. so it's a risk, a claim is staked.
the nice guy stands for nothing... he's neither good nor bad. life is easier for nice guys, albeit less meaningful.",20260419,,x,,,
x,,,,,,,,,,"to be of one's own time,
   say, of fibers and invisibility
is, I fear, to not be of another

to act as brother to a man
  to grasp his hand, with firm
  propriety
is not to be his lover

and thus the deed
or chosen state of mind,
  a heading on that wide and ancient sea
  where cables new are laid below
becomes the cage of 
accident's design
  by touch that was too sudden
  or too slow",20260418,,x,,,
,,,,x,,x,,,,"toward a theory of PURPOSIVE SQUANDERANCE, or DEBECOMING, or UN-CLUNG-NESS (in a barely sensible way)",20260414,,x,,,
,,,,,,,,x,,"all the other kids with the small ass dicks
penis pump penis pump
gain a couple inches",20260414,,x,,,
,,,,,,,,x,,"""to fart on one's wrath""
meaning: to see it to that the wrath of another is farted upon, effectively squelching it
as in, ""stop farting on my wrath, bro""",20260406,,x,,,
x,,,,,,,,,,"bird on a wire
russet brown friar
the copper confession heard

last call from prison
and the man dies shriven
his sins on that little brown bird",20150101,,x,,,
,,,,x,,,,,,"people think the opposite of death is life. but they are the same. the opposite of life-death is falsehood. every day, we cloak ourselves in falsehood to escape the terrifying truth of life-death.",20260404,,x,,,
,,,,x,,,,,,"sex is play on the mortal threshhold, which is vaginal, making ingress and egress upon it--to live to  die to live to die--til friction compels, exquisitely, suspension of both states as orgasm. put another way, sex is that infinite sum game with a win condition that demands loss.",20260404,,x,,,
,,,,x,,,,,,"we falsely conflate hierarchy and equality such that if one questions whether men and women, say, are ""equal,"" as is commonly stated, it's presumed that they are asserting the superiority/inferiority of the one over the other, when--at least in my humble opinion--nothing is further from the truth. it is not not a matter of over or under, better or worse; rather, it is a matter of categorical difference and lateral separation....on the x axis as it were",20260403,,x,,,
,,,,x,,,,,,"the thing most recently born is the wisest and most ancient thing alive at any given point, the container of the moving spirit, which flits womb to womb in orthodromes.",20260326,,x,,,
x,,,,,,,,x,,"there once was a quadruple amp-
utee, at cornhole he was quite the champ
you see, he used his two stumps
to eliminate chumps
it was a bean body bag jamboree",20260325,,x,,,
x,,,,,,,,,,"little puddles catch the orange light
outside the Valero
while the opossums rustle up mucho dinero
in bushes
and round the place a thin girl marches
to the chirring of frogs
and a warm wind shushes
the love-addled mind

be firm and be kind
for there may be an an angel
in that titrated capsule
with a name like Gabriel-hexadramide

or it may be a devil inside

but be firm and be true
and that little orange light
in the Valero night
will dissolve to a wide morning blue",20260322,,x,"little puddles catch the orange light
outside the Valero
while the opossums rustle up mucho dinero
in bushes
and round the place a thin girl marches
to the chirring of frogs
and a warm wind shushes
the love-addled mind

be firm and be kind
for there may be an an angel
in that titrated capsule
with a name like Gabriel-hexadramide

or it may be a devil inside

but be firm and be true
and that little orange light
in the Valero night
will dissolve to a wide morning blue",,
,,,,x,,,,,,"you can hear my words, and I can hear yours. we can grasp at the notions, dimly.
but you will never feel the world quite as I do; there is a gap.
only blood can truly know that--only those who occupy a shared line,
with a head the shape of mine, and an eye of a similar hue.",20260322,,x,,,
